Feature ID	Taxon	Confidence	Assignment Database
a0530711bdec8d611872863731f96dde	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus mutans	100	GTDB r207
f3cfb383dcfb753cad226072f6665784	d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus epidermidis	99	GTDB r207
bc7d5e82dae59e2e5e8321bb5c5eae4b	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus mutans	100	GTDB r207
dd586a1ae04ed2d129d944286ae71f61	d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus epidermidis	93	GTDB r207
b80a1bd6b19379171cafb03a4ddb26a3	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Cereibacter_A; s__Cereibacter A sphaeroides	82	GTDB r207
aab4d379026eb5e6a7e2b32ec4c715e7	d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus epidermidis	94	GTDB r207
d3eab112b21cbea371f808f940fa4b0c	d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus epidermidis	97	GTDB r207
34babcf1732962962d2fbbbadf3af637	d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus epidermidis	100	GTDB r207
13bc41e35faa4f40a01de5a972c0c4ac	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__Escherichia-Shigella coli	95	Silva 138.1
07b2978940b50886f3866b04b7f982cf	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus agalactiae	100	GTDB r207
