	R11_1_P3C3	R3_1_P2C2	R3_1_P3C3	R3_2_P2C2	R3_2_P3C3	R3_3_P3C3	R9_1_P2C2	R9_1_P3C3	R9_1B_P2C2	R9_1B_P3C3	R9_2_P2C2	R9_2_P3C3	R9_3_P3C3	R9_4_P3C3
R11_1_P3C3	0.0	0.9960241294214423	0.9956128324650397	0.991362763915547	0.9918426103646834	0.9958870304359748	0.9962297778996435	0.9961612284069098	0.994721689059501	0.9940361941321634	0.9947902385522347	0.9957499314505073	0.9936248971757609	0.9933506992048259
R3_1_P2C2	0.9960241294214423	0.0	0.03934740882917467	0.805936386070743	0.8129969838223197	0.7957910611461475	0.968535782835207	0.9686043323279407	0.996366876885111	0.9958870304359748	0.9993830545653962	0.9995201535508638	0.9985604606525912	0.9985604606525912
R3_1_P3C3	0.9956128324650397	0.03934740882917467	0.0	0.8033315053468605	0.8097751576638332	0.7889361118727721	0.9690841787770771	0.9693583767480121	0.9965039758705786	0.9960241294214423	0.9993145050726625	0.9995201535508638	0.9980120647107211	0.9987661091307924
R3_2_P2C2	0.991362763915547	0.805936386070743	0.8033315053468605	0.0	0.051549218535782836	0.504181519056759	0.9877296408006581	0.9884836852207294	0.9941732931176309	0.9943789415958322	0.9954071839868385	0.9959555799287085	0.9954757334795723	0.9929394022484234
R3_2_P3C3	0.9918426103646834	0.8129969838223197	0.8097751576638332	0.051549218535782836	0.0	0.5132300520976145	0.9874554428297231	0.9882094872497944	0.996366876885111	0.9965039758705786	0.9962983273923773	0.996366876885111	0.9959555799287085	0.9945845900740334
R3_3_P3C3	0.9958870304359748	0.7957910611461475	0.7889361118727721	0.504181519056759	0.5132300520976145	0.0	0.9803262955854126	0.9814916369618865	0.9980806142034548	0.9982177131889224	0.9988346586235262	0.999177406087195	0.9985604606525912	0.9984233616671236
R9_1_P2C2	0.9962297778996435	0.968535782835207	0.9690841787770771	0.9877296408006581	0.9874554428297231	0.9803262955854126	0.0	0.06758979983548122	0.9424184261036468	0.9437208664655882	0.9629147244310392	0.965176857691253	0.9782698108034	0.957979160954209
R9_1_P3C3	0.9961612284069098	0.9686043323279407	0.9693583767480121	0.9884836852207294	0.9882094872497944	0.9814916369618865	0.06758979983548122	0.0	0.9473539895804771	0.9474910885659447	0.9692212777625445	0.9698382231971483	0.9779270633397313	0.9608582396490266
R9_1B_P2C2	0.994721689059501	0.996366876885111	0.9965039758705786	0.9941732931176309	0.996366876885111	0.9980806142034548	0.9424184261036468	0.9473539895804771	0.0	0.07259391280504525	0.9094461200987113	0.9118453523443927	0.9143816835755415	0.9330271455991226
R9_1B_P3C3	0.9940361941321634	0.9958870304359748	0.9960241294214423	0.9943789415958322	0.9965039758705786	0.9982177131889224	0.9437208664655882	0.9474910885659447	0.07259391280504525	0.0	0.9094461200987113	0.9117768028516589	0.9136276391554703	0.930148066904305
R9_2_P2C2	0.9947902385522347	0.9993830545653962	0.9993145050726625	0.9954071839868385	0.9962983273923773	0.9988346586235262	0.9629147244310392	0.9692212777625445	0.9094461200987113	0.9094461200987113	0.0	0.08164244584590075	0.5039758705785577	0.6835069920482588
R9_2_P3C3	0.9957499314505073	0.9995201535508638	0.9995201535508638	0.9959555799287085	0.996366876885111	0.999177406087195	0.965176857691253	0.9698382231971483	0.9118453523443927	0.9117768028516589	0.08164244584590075	0.0	0.5028105292020839	0.6819303537153825
R9_3_P3C3	0.9936248971757609	0.9985604606525912	0.9980120647107211	0.9954757334795723	0.9959555799287085	0.9985604606525912	0.9782698108034	0.9779270633397313	0.9143816835755415	0.9136276391554703	0.5039758705785577	0.5028105292020839	0.0	0.6399095146695915
R9_4_P3C3	0.9933506992048259	0.9985604606525912	0.9987661091307924	0.9929394022484234	0.9945845900740334	0.9984233616671236	0.957979160954209	0.9608582396490266	0.9330271455991226	0.930148066904305	0.6835069920482588	0.6819303537153825	0.6399095146695915	0.0
