	R11_1_P3C3	R3_1_P2C2	R3_1_P3C3	R3_2_P2C2	R3_2_P3C3	R3_3_P3C3	R9_1_P2C2	R9_1_P3C3	R9_1B_P2C2	R9_1B_P3C3	R9_2_P2C2	R9_2_P3C3	R9_3_P3C3	R9_4_P3C3
R11_1_P3C3	0	0.7458199729537516	0.7184228253326757	0.657039752672727	0.6360740307209902	0.6762040188586169	0.8361148873607873	0.8204049161239521	0.6788976498598147	0.6933715160531336	0.6993955811065558	0.6727603282347651	0.7066245065052689	0.6950681346457364
R3_1_P2C2	0.7458199729537516	0	0.1218141872386494	0.6410456132824677	0.6620510682864708	0.5787432003841584	0.7498311904047774	0.7583122156305182	0.7157994245474143	0.7242349308344946	0.7996211534690951	0.818848333224255	0.8031039568946341	0.8090233667652621
R3_1_P3C3	0.7184228253326757	0.1218141872386494	0	0.5934332805624782	0.6384328479467778	0.5087435133712481	0.7146974614718199	0.7246563395858482	0.6824461925995834	0.6920139229648991	0.7711427331454392	0.7951454008902626	0.7814757230152157	0.7890377462084128
R3_2_P2C2	0.657039752672727	0.6410456132824677	0.5934332805624782	0	0.1331515257102163	0.2700547532612577	0.7725403490917951	0.7593188069808491	0.5835731483559813	0.5916002589949938	0.5736702772046911	0.5922695047138505	0.6275676022968198	0.6037445723835204
R3_2_P3C3	0.6360740307209902	0.6620510682864708	0.6384328479467778	0.1331515257102163	0	0.3129846983465798	0.7644398317866583	0.7596758950408289	0.5997551349025446	0.6073122244316258	0.5690774385460274	0.5681705063016637	0.6157450566437397	0.5844443782005401
R3_3_P3C3	0.6762040188586169	0.5787432003841584	0.5087435133712481	0.2700547532612577	0.3129846983465798	0	0.7184610838617193	0.7163297573050685	0.5984344898226792	0.606917446479841	0.6317323549138144	0.6561255482313408	0.7065552246629041	0.7040717799129675
R9_1_P2C2	0.8361148873607873	0.7498311904047774	0.7146974614718199	0.7725403490917951	0.7644398317866583	0.7184610838617193	0	0.134525781405449	0.7036584415681552	0.6846322843041842	0.7798314963318986	0.7879649250850254	0.8194760506173682	0.8284876978112133
R9_1_P3C3	0.8204049161239521	0.7583122156305182	0.7246563395858482	0.7593188069808491	0.7596758950408289	0.7163297573050685	0.134525781405449	0	0.6648579867281897	0.661107008900243	0.7702053199997834	0.7776022108738992	0.8028280299320008	0.825750251402962
R9_1B_P2C2	0.6788976498598147	0.7157994245474143	0.6824461925995834	0.5835731483559813	0.5997551349025446	0.5984344898226792	0.7036584415681552	0.6648579867281897	0	0.0924922525918144	0.5944589809506472	0.5965307856273668	0.6361081299994703	0.6691668464174024
R9_1B_P3C3	0.6933715160531336	0.7242349308344946	0.6920139229648991	0.5916002589949938	0.6073122244316258	0.606917446479841	0.6846322843041842	0.661107008900243	0.0924922525918144	0	0.5820476305453269	0.5897583697143454	0.6193265329982509	0.657541585402922
R9_2_P2C2	0.6993955811065558	0.7996211534690951	0.7711427331454392	0.5736702772046911	0.5690774385460274	0.6317323549138144	0.7798314963318986	0.7702053199997834	0.5944589809506472	0.5820476305453269	0	0.2173778427533243	0.3842713548756381	0.4786728356692905
R9_2_P3C3	0.6727603282347651	0.818848333224255	0.7951454008902626	0.5922695047138505	0.5681705063016637	0.6561255482313408	0.7879649250850254	0.7776022108738992	0.5965307856273668	0.5897583697143454	0.2173778427533243	0	0.3405776816311663	0.4569770634102482
R9_3_P3C3	0.7066245065052689	0.8031039568946341	0.7814757230152157	0.6275676022968198	0.6157450566437397	0.7065552246629041	0.8194760506173682	0.8028280299320008	0.6361081299994703	0.6193265329982509	0.3842713548756381	0.3405776816311663	0	0.2785807139030585
R9_4_P3C3	0.6950681346457364	0.8090233667652621	0.7890377462084128	0.6037445723835204	0.5844443782005401	0.7040717799129675	0.8284876978112133	0.825750251402962	0.6691668464174024	0.657541585402922	0.4786728356692905	0.4569770634102482	0.2785807139030585	0
