	R11_1_P3C3	R3_1_P2C2	R3_1_P3C3	R3_2_P2C2	R3_2_P3C3	R3_3_P3C3	R9_1_P2C2	R9_1_P3C3	R9_1B_P2C2	R9_1B_P3C3	R9_2_P2C2	R9_2_P3C3	R9_3_P3C3	R9_4_P3C3
R11_1_P3C3	0	0.6665581803013263	0.664739758300969	0.5927082465143584	0.589995054413329	0.7115621056119723	0.5868396283658777	0.5853464982352342	0.5508521354068734	0.5517510238886127	0.3572020513811904	0.3602724800152691	0.3066158068391652	0.4481528215929085
R3_1_P2C2	0.6665581803013263	0	0.01318563515094092	0.4842100762296443	0.4862167867421984	0.4923683032674465	0.4884012804286704	0.4897874333767053	0.5510822954706629	0.5527047692740367	0.6933973957475632	0.6950439538326514	0.6645995248841791	0.6934786736106386
R3_1_P3C3	0.664739758300969	0.01318563515094092	0	0.4776881730981524	0.4796717849624814	0.4878406300424468	0.4817821578456457	0.4826512786008801	0.5468053039742841	0.5496042149624563	0.6921655678359629	0.6938227065942176	0.664286743153961	0.6926922063592362
R3_2_P2C2	0.5927082465143584	0.4842100762296443	0.4776881730981524	0	0.01554112476301765	0.324576750973394	0.4469396423450981	0.4425263146552456	0.4459206288423781	0.4492027948203158	0.5995639661267191	0.6002123986084682	0.5699226231194346	0.5569081016771766
R3_2_P3C3	0.589995054413329	0.4862167867421984	0.4796717849624814	0.01554112476301765	0	0.3330864059347169	0.4511551158091219	0.4467232117303235	0.4507832177152209	0.4540193511446084	0.5975314477745155	0.5981033510495994	0.5675850538243179	0.5578990670255067
R3_3_P3C3	0.7115621056119723	0.4923683032674465	0.4878406300424468	0.324576750973394	0.3330864059347169	0	0.3523605332887967	0.3586908508650364	0.5032198096766127	0.5114598776156458	0.7350948202389647	0.7362044891296415	0.7066066832877085	0.6290990334211271
R9_1_P2C2	0.5868396283658777	0.4884012804286704	0.4817821578456457	0.4469396423450981	0.4511551158091219	0.3523605332887967	0	0.0181367389631837	0.4637883589989762	0.4693915443620912	0.5963690001433527	0.5973548959996825	0.5914142848756641	0.6216557875653279
R9_1_P3C3	0.5853464982352342	0.4897874333767053	0.4826512786008801	0.4425263146552456	0.4467232117303235	0.3586908508650364	0.0181367389631837	0	0.4644050844547241	0.4700439324715897	0.5972498795715986	0.5982804299418735	0.5901921531163186	0.6224388499432641
R9_1B_P2C2	0.5508521354068734	0.5510822954706629	0.5468053039742841	0.4459206288423781	0.4507832177152209	0.5032198096766127	0.4637883589989762	0.4644050844547241	0	0.01556091260296196	0.4273292103659466	0.4274139251415965	0.4364254076712237	0.3981106348155072
R9_1B_P3C3	0.5517510238886127	0.5527047692740367	0.5496042149624563	0.4492027948203158	0.4540193511446084	0.5114598776156458	0.4693915443620912	0.4700439324715897	0.01556091260296196	0	0.42219243277605	0.4223825978781809	0.4363828318387231	0.3989663262925532
R9_2_P2C2	0.3572020513811904	0.6933973957475632	0.6921655678359629	0.5995639661267191	0.5975314477745155	0.7350948202389647	0.5963690001433527	0.5972498795715986	0.4273292103659466	0.42219243277605	0	0.01081619013963739	0.1744276738231319	0.3221436615314692
R9_2_P3C3	0.3602724800152691	0.6950439538326514	0.6938227065942176	0.6002123986084682	0.5981033510495994	0.7362044891296415	0.5973548959996825	0.5982804299418735	0.4274139251415965	0.4223825978781809	0.01081619013963739	0	0.1787257447850574	0.3238455002952486
R9_3_P3C3	0.3066158068391652	0.6645995248841791	0.664286743153961	0.5699226231194346	0.5675850538243179	0.7066066832877085	0.5914142848756641	0.5901921531163186	0.4364254076712237	0.4363828318387231	0.1744276738231319	0.1787257447850574	0	0.3278843914763535
R9_4_P3C3	0.4481528215929085	0.6934786736106386	0.6926922063592362	0.5569081016771766	0.5578990670255067	0.6290990334211271	0.6216557875653279	0.6224388499432641	0.3981106348155072	0.3989663262925532	0.3221436615314692	0.3238455002952486	0.3278843914763535	0
