file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	Q20(%)	Q30(%)	sample
SRR8557471.fastq	FASTQ	DNA	16195	24573115	586	1517.3	6076	1491.0	1493.0	1495.0	0	1493	99.10	97.85	R11_1_P2C2
SRR8557478.fastq	FASTQ	DNA	19627	29320134	1020	1493.9	2007	1492.0	1493.0	1495.0	0	1493	99.93	99.84	R11_1_P3C3
SRR8557465.fastq	FASTQ	DNA	24657	36823886	561	1493.4	6017	1472.0	1475.0	1502.0	0	1475	99.11	97.87	R3_1_P2C2
SRR8557472.fastq	FASTQ	DNA	30983	46104915	1014	1488.1	2048	1473.0	1473.0	1503.0	0	1474	99.92	99.83	R3_1_P3C3
SRR8557466.fastq	FASTQ	DNA	22799	34746515	502	1524.0	6203	1496.0	1516.0	1521.0	0	1517	99.11	97.87	R3_2_P2C2
SRR8557475.fastq	FASTQ	DNA	27505	41469329	1011	1507.7	2003	1496.0	1517.0	1519.0	0	1517	99.93	99.84	R3_2_P3C3
SRR8557463.fastq	FASTQ	DNA	14675	22286203	638	1518.7	6076	1496.0	1502.0	1507.0	0	1503	99.11	97.87	R3_3_P2C2
SRR8557476.fastq	FASTQ	DNA	18783	28229379	1021	1502.9	2026	1496.0	1503.0	1504.0	0	1503	99.93	99.85	R3_3_P3C3
SRR8557469.fastq	FASTQ	DNA	23003	34432691	538	1496.9	6095	1478.0	1489.0	1501.0	0	1489	99.11	97.86	R9_1B_P2C2
SRR8557474.fastq	FASTQ	DNA	28156	41893647	1003	1487.9	2089	1477.0	1489.0	1501.0	0	1489	99.93	99.84	R9_1B_P3C3
SRR8557464.fastq	FASTQ	DNA	25306	38326660	585	1514.5	6153	1500.0	1502.0	1530.0	0	1502	99.13	97.93	R9_1_P2C2
SRR8557473.fastq	FASTQ	DNA	32133	48509728	1002	1509.7	2100	1501.0	1502.0	1531.0	0	1502	99.93	99.84	R9_1_P3C3
SRR8557470.fastq	FASTQ	DNA	19073	28564763	487	1497.7	6080	1488.0	1491.0	1494.0	0	1491	99.12	97.90	R9_2_P2C2
SRR8557479.fastq	FASTQ	DNA	24760	36844256	1000	1488.1	2067	1488.0	1491.0	1494.0	0	1491	99.93	99.84	R9_2_P3C3
SRR8557467.fastq	FASTQ	DNA	16315	24363191	610	1493.3	6057	1476.0	1491.0	1493.0	0	1491	99.13	97.94	R9_3_P2C2
SRR8557480.fastq	FASTQ	DNA	21621	32119969	1023	1485.6	2062	1476.0	1491.0	1493.0	0	1491	99.93	99.85	R9_3_P3C3
SRR8557468.fastq	FASTQ	DNA	12438	18552579	572	1491.6	6043	1485.0	1489.0	1492.0	0	1489	99.15	97.96	R9_4_P2C2
SRR8557477.fastq	FASTQ	DNA	15169	22545675	1011	1486.3	2092	1485.0	1489.0	1492.0	0	1489	99.93	99.84	R9_4_P3C3
