sample	length:q1	length:q3	length:median	avg.qual:q1	avg.qual:q3	avg.qual:median
R11_1_P2C2	1491.00	1495.00	1493.00	30.30	49.04	36.74
R11_1_P3C3	1492.00	1495.00	1493.00	41.29	93.00	67.10
R3_1_P2C2	1472.00	1502.00	1475.00	30.54	47.12	36.59
R3_1_P3C3	1473.00	1503.00	1473.00	40.61	92.97	62.70
R3_2_P2C2	1496.00	1521.00	1516.00	30.59	49.80	36.85
R3_2_P3C3	1496.00	1519.00	1517.00	41.73	93.00	67.80
R3_3_P2C2	1496.00	1507.00	1502.00	30.66	50.42	37.26
R3_3_P3C3	1496.00	1504.00	1503.00	42.72	93.00	71.78
R9_1B_P2C2	1478.00	1501.00	1489.00	30.44	49.06	36.85
R9_1B_P3C3	1477.00	1501.00	1489.00	41.68	93.00	68.71
R9_1_P2C2	1500.00	1530.00	1502.00	30.49	48.76	36.75
R9_1_P3C3	1501.00	1531.00	1502.00	40.85	93.00	65.14
R9_2_P2C2	1488.00	1494.00	1491.00	30.49	49.68	37.09
R9_2_P3C3	1488.00	1494.00	1491.00	41.59	93.00	67.05
R9_3_P2C2	1476.00	1493.00	1491.00	30.65	49.66	37.31
R9_3_P3C3	1476.00	1493.00	1491.00	42.68	93.00	70.71
R9_4_P2C2	1485.00	1492.00	1489.00	30.64	49.84	37.37
R9_4_P3C3	1485.00	1492.00	1489.00	41.56	93.00	67.02
