Feature ID	Taxon	Confidence	Assignment Database
e9b142e34e795428921766c8c0241bf4	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__UBA10450; g__Unclassified; s__Unclassified	49	GTDB r207
4a9fe63de8317196c7ab1aad2adce114	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Ramlibacter; s__Ramlibacter monticola	97	RefSeq + RDP
f0ece87e6f4450492fc8b9707d47878f	d__Bacteria; p__Nitrospirota; c__Thermodesulfovibrionia; o__Thermodesulfovibrionales; f__UBA6898; g__UBA6898; s__UBA6898 sp016217675	84	GTDB r207
c7a2b98c07bed93f759c21becc233010	d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Anaeromyxobacteraceae; g__Anaeromyxobacter; s__Unclassified	49	GTDB r207
a4b3b69506dd63a790f32e337904d3d6	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__SG8-39; g__SCGC-AG-212-J23; s__SCGC-AG-212-J23 sp005881595	97	GTDB r207
c0cc185eb82351a8406d785389a07ce5	d__Bacteria; p__Desulfobacterota_D; c__UBA1144; o__RKRQ01; f__RKRQ01; g__RKRQ01; s__Unclassified	62	GTDB r207
a1c308e01db57447c0729f689f53e20d	d__Bacteria; p__Unclassified; c__Unclassified; o__Unclassified; f__Unclassified; g__Unclassified; s__Unclassified	73	GTDB r207
1101bfee506ce89845b9db9aea426b23	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae; g__Azoarcus; s__Azoarcus tolulyticus	98	Silva 138.1
c73f6082c5fb974b42983e5e8b22b573	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Pseudolabrys; s__Pseudolabrys taiwanensis	100	GTDB r207
c09e07532d495fe647fb58e53d70a9b9	d__Bacteria; p__Myxococcota_A; c__UBA9160; o__SZUA-336; f__SZUA-336; g__Unclassified; s__Unclassified	64	GTDB r207
a9127b9624dd06285df998b9141d57e3	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__SG8-39; g__SCGC-AG-212-J23; s__SCGC-AG-212-J23 sp005881595	99	GTDB r207
