sample         length:q1   length:q3   length:median   avg.qual:q1   avg.qual:q3   avg.qual:median
------------   ---------   ---------   -------------   -----------   -----------   ---------------
Bacteria_AS1   1492.00     1519.00     1504.00         38.62         93.00         67.63
Bacteria_AS2   1490.00     1519.00     1504.00         33.92         92.99         49.84
Bacteria_AS3   1491.00     1519.00     1505.00         33.59         92.88         48.75
Bacteria_AS4   1488.00     1522.00     1507.00         35.76         93.00         58.82
Bacteria_AS5   1491.00     1521.00     1506.00         37.60         93.00         63.88
Bacteria_AS6   1489.00     1518.00     1501.00         38.95         93.00         69.46
Bacteria_FS1   1492.00     1524.00     1509.00         32.94         91.73         44.97
Bacteria_FS2   1493.00     1523.00     1505.00         36.73         93.00         61.17
Bacteria_SE1   1493.00     1521.00     1505.00         37.33         93.00         63.81
Bacteria_SE2   1492.00     1520.00     1500.00         38.83         93.00         70.66
Bacteria_SS1   1489.00     1521.00     1503.00         36.69         93.00         61.83
Bacteria_SS2   1486.00     1503.00     1495.00         35.53         93.00         57.76
