sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
Bacteria_AS1	19339	17987	93.01	9535	9535	49.3
Bacteria_AS2	19484	17281	88.69	6701	6692	34.35
Bacteria_AS3	18845	16677	88.5	6736	6736	35.74
Bacteria_AS4	19410	17647	90.92	9915	9915	51.08
Bacteria_AS5	19497	18072	92.69	11705	11694	59.98
Bacteria_AS6	19423	18144	93.42	12197	12191	62.77
Bacteria_FS1	19217	16848	87.67	6794	6794	35.35
Bacteria_FS2	19423	17852	91.91	11352	11352	58.45
Bacteria_SE1	19398	17970	92.64	9803	9803	50.54
Bacteria_SE2	19446	18185	93.52	12197	12188	62.68
Bacteria_SS1	19513	17874	91.6	11196	11196	57.38
Bacteria_SS2	19384	17657	91.09	10445	10445	53.88
