Feature ID	Taxon	Consensus
0005d545190c95ea4cf35b4dd3ca1b7d	Unassigned	1.0
000a3730acb599ff466ded3209b360ec	Unassigned	1.0
000d40a3a02cac05205f84213f9d005e	Unassigned	1.0
0010045fd24e2c50693d2433ce1eeb68	Unassigned	1.0
001e791cd22db6d1d8f6fee3d6e6250d	Unassigned	1.0
00278f1aedfc5a2d592fcb8cac5e4857	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__Mesorhizobium hawassense	1.0
002e369028be6edf54a181c894eebb0f	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavipsychrobacter;s__Flavipsychrobacter sp018267915	1.0
004d9bc31bbcfff9a78d24a8cd9a0ee6	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Terrisporobacter;s__Terrisporobacter glycolicus	1.0
004db49bfc425e2faa641e7c8ec32c9c	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__WHTF01;s__WHTF01 sp009379725	1.0
004eef6602862b81100a89446e351324	Unassigned	1.0
0068f520ba53cae5fa96928d597521a0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__Reyranella sp016467395	1.0
006b7b55a597ffda3128f8c59a550d1a	Unassigned	1.0
007024e322453d019086d606cc1a403c	Unassigned	1.0
007f39654582fdb68c46d14481f4286a	Unassigned	1.0
0090a2e055fabae106902aa2b12fdce7	Unassigned	1.0
00949dfcd004aa868d30b8aa48a9a979	Unassigned	1.0
0097f14814fa73e25c70c4ade56b07e2	Unassigned	1.0
00a12130c2996a222f55ffce34b82f42	Unassigned	1.0
00aeb089cbedf10e162df0bd6287fe39	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Z2-YC6860;s__Z2-YC6860 sp001579845	1.0
00bb0dcbcb891829b292670904e5e162	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__Gemmatimonas sp016720905	1.0
00d49639933147855fc18591ef5a5999	Unassigned	1.0
00d7b9211ee1d1de44aeaef42abf65be	Unassigned	1.0
00d8e52f31a3a654c2c41be0cf091e4a	Unassigned	1.0
00e4201934ac9cda44a12b4d595e50cf	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ramlibacter;s__Ramlibacter monticola	1.0
00e6a8e30e40d05f81d0728aba55d9c5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavisolibacter;s__Flavisolibacter ginsengisoli	1.0
00e91fe68cf718f7dcbc23772c37e4b4	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__Sphingomicrobium sp014352855	1.0
00eedb01e94979142ae3ae96aa26b25c	Unassigned	1.0
0105fdfb652b9f035583592f14fcc2fe	Unassigned	1.0
0108380d0b90aaa2152c1a37ac91e019	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__Nitrospira_F sp016873515	1.0
0111c1cecc70cffca9317cfe853f1469	Unassigned	1.0
0115ef6c368ee6c4a837b7f8ce1cec00	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Coleofasciculaceae;g__SIO2C1;s__SIO2C1 sp010672925	1.0
011d569e39fdc1811587518771126d9c	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__JJ008 sp016719165	1.0
0120a52214dfc9818ff47372d68a455d	Unassigned	1.0
01333adca5f4744ec753dae69c104260	Unassigned	1.0
0133487ea54c19d22e91db50f6418a2b	Unassigned	1.0
0138258cdca36edef3369444e72c7ded	Unassigned	1.0
013e64c28bbd4ccc35bcfc7c20992cb9	Unassigned	1.0
0151a2059a29717f209d0bb6dfa20933	Unassigned	1.0
01614398a332aa6bcb79203428ae7560	Unassigned	1.0
0161a26734ee4ce5800a0b31d2441b35	Unassigned	1.0
01700bb8bfa669c5c38287f3e7cdb81d	Unassigned	1.0
01745c76843334f5dbc8bc547ad4c07a	Unassigned	1.0
017ca7bd34514bd776ef971aa09d668b	Unassigned	1.0
0181ee29dfd04e383345675d9238e749	Unassigned	1.0
018c0d95909c7ac65ddb63c5745af9f8	Unassigned	1.0
018ede6ffad5f4ae5eb43d5199890546	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Luteimonas_B;s__Luteimonas_B telluris	1.0
019f1f73e48be28242e1beb33dd15f9b	Unassigned	1.0
