#id	length	GC	avg.qual	sample
SRR9089357.1	1552	53.48	43.27	Zymo_FL16S
SRR9089357.2	1535	54.27	56.79	Zymo_FL16S
SRR9089357.3	1545	54.37	31.74	Zymo_FL16S
SRR9089357.4	1529	53.70	32.21	Zymo_FL16S
SRR9089357.5	1545	50.94	35.48	Zymo_FL16S
SRR9089357.6	1544	50.65	37.68	Zymo_FL16S
SRR9089357.7	1543	53.40	38.12	Zymo_FL16S
SRR9089357.8	1543	54.70	32.26	Zymo_FL16S
SRR9089357.9	1544	54.60	31.80	Zymo_FL16S
SRR9089357.10	1542	50.84	31.30	Zymo_FL16S
SRR9089357.11	1541	54.77	35.55	Zymo_FL16S
SRR9089357.12	1535	54.33	47.80	Zymo_FL16S
SRR9089357.13	1541	54.77	43.83	Zymo_FL16S
SRR9089357.14	1543	54.70	56.34	Zymo_FL16S
SRR9089357.15	1535	54.20	38.56	Zymo_FL16S
SRR9089357.16	1554	53.60	34.47	Zymo_FL16S
SRR9089357.17	1539	54.32	31.64	Zymo_FL16S
SRR9089357.18	1545	50.94	37.95	Zymo_FL16S
SRR9089357.19	1543	54.57	51.53	Zymo_FL16S
SRR9089357.20	1554	53.60	39.00	Zymo_FL16S
SRR9089357.21	1556	53.66	35.69	Zymo_FL16S
SRR9089357.22	1546	50.71	33.88	Zymo_FL16S
SRR9089357.23	1542	53.44	32.66	Zymo_FL16S
SRR9089357.24	1569	52.39	50.95	Zymo_FL16S
SRR9089357.25	1569	52.64	44.92	Zymo_FL16S
SRR9089357.26	1539	53.35	31.95	Zymo_FL16S
SRR9089357.27	1552	53.54	42.99	Zymo_FL16S
SRR9089357.28	1542	53.18	33.81	Zymo_FL16S
SRR9089357.29	1536	54.36	35.07	Zymo_FL16S
SRR9089357.30	1545	50.68	36.39	Zymo_FL16S
SRR9089357.31	1545	50.87	46.39	Zymo_FL16S
SRR9089357.32	1554	53.73	40.26	Zymo_FL16S
SRR9089357.33	1571	52.71	36.01	Zymo_FL16S
SRR9089357.34	1544	54.79	40.93	Zymo_FL16S
SRR9089357.35	1545	50.74	32.47	Zymo_FL16S
SRR9089357.36	1569	52.58	36.15	Zymo_FL16S
SRR9089357.37	1545	50.74	34.04	Zymo_FL16S
SRR9089357.38	1534	54.43	35.88	Zymo_FL16S
SRR9089357.39	1542	54.60	36.60	Zymo_FL16S
SRR9089357.40	2129	70.13	36.12	Zymo_FL16S
SRR9089357.41	1535	54.40	51.62	Zymo_FL16S
SRR9089357.42	1554	53.47	35.59	Zymo_FL16S
SRR9089357.43	1543	54.76	41.04	Zymo_FL16S
SRR9089357.44	1535	54.33	45.22	Zymo_FL16S
SRR9089357.45	1535	54.33	33.33	Zymo_FL16S
SRR9089357.46	1569	52.39	52.02	Zymo_FL16S
SRR9089357.47	1543	54.57	37.35	Zymo_FL16S
SRR9089357.48	1543	54.76	54.69	Zymo_FL16S
SRR9089357.49	1545	50.74	34.01	Zymo_FL16S
SRR9089357.50	1545	54.63	32.15	Zymo_FL16S
SRR9089357.51	1543	53.34	33.01	Zymo_FL16S
SRR9089357.52	1545	50.87	53.35	Zymo_FL16S
SRR9089357.53	1543	54.70	43.23	Zymo_FL16S
SRR9089357.54	1540	53.44	33.13	Zymo_FL16S
SRR9089357.55	1530	54.12	32.25	Zymo_FL16S
SRR9089357.56	1533	54.47	49.41	Zymo_FL16S
SRR9089357.57	1553	53.70	36.64	Zymo_FL16S
SRR9089357.58	1543	54.76	46.90	Zymo_FL16S
SRR9089357.59	1554	53.47	54.91	Zymo_FL16S
SRR9089357.60	1543	54.70	38.88	Zymo_FL16S
SRR9089357.61	1541	54.77	44.76	Zymo_FL16S
SRR9089357.62	1529	53.89	41.82	Zymo_FL16S
SRR9089357.63	1545	54.69	30.37	Zymo_FL16S
SRR9089357.64	1544	53.24	34.87	Zymo_FL16S
SRR9089357.65	1544	53.43	34.51	Zymo_FL16S
SRR9089357.66	1534	54.11	34.13	Zymo_FL16S
SRR9089357.67	1544	54.60	37.61	Zymo_FL16S
SRR9089357.68	1569	52.45	53.78	Zymo_FL16S
SRR9089357.69	1567	52.58	53.29	Zymo_FL16S
SRR9089357.70	1569	52.52	40.92	Zymo_FL16S
SRR9089357.71	1553	53.44	33.33	Zymo_FL16S
SRR9089357.72	1538	54.36	36.01	Zymo_FL16S
SRR9089357.73	1535	54.27	42.38	Zymo_FL16S
SRR9089357.74	1574	52.60	33.72	Zymo_FL16S
SRR9089357.75	1541	53.34	37.29	Zymo_FL16S
SRR9089357.76	1535	54.46	44.48	Zymo_FL16S
SRR9089357.77	1421	54.89	61.63	Zymo_FL16S
SRR9089357.78	1536	54.30	35.28	Zymo_FL16S
SRR9089357.79	1569	52.39	44.15	Zymo_FL16S
SRR9089357.80	1540	53.18	36.40	Zymo_FL16S
SRR9089357.81	1533	54.21	30.73	Zymo_FL16S
SRR9089357.82	1544	53.24	30.96	Zymo_FL16S
SRR9089357.83	1545	50.68	46.25	Zymo_FL16S
SRR9089357.84	1550	53.68	32.40	Zymo_FL16S
SRR9089357.85	1545	54.63	57.03	Zymo_FL16S
SRR9089357.86	1543	53.27	59.12	Zymo_FL16S
SRR9089357.87	1540	53.44	37.68	Zymo_FL16S
SRR9089357.88	1534	54.30	46.53	Zymo_FL16S
SRR9089357.89	1361	54.52	30.65	Zymo_FL16S
