#id	length	GC	avg.qual	sample
SRR9089358.1	1478	52.57	45.45	BEI_FL16S
SRR9089358.2	1464	54.99	70.17	BEI_FL16S
SRR9089358.3	1474	51.09	31.33	BEI_FL16S
SRR9089358.4	1473	51.39	44.40	BEI_FL16S
SRR9089358.5	1479	52.74	58.03	BEI_FL16S
SRR9089358.6	1473	51.39	51.40	BEI_FL16S
SRR9089358.7	1465	55.02	37.46	BEI_FL16S
SRR9089358.8	1426	50.56	34.83	BEI_FL16S
SRR9089358.9	1479	52.67	58.18	BEI_FL16S
SRR9089358.10	1479	52.67	47.50	BEI_FL16S
SRR9089358.11	1472	51.43	36.04	BEI_FL16S
SRR9089358.12	1479	52.67	41.69	BEI_FL16S
SRR9089358.13	1473	51.46	43.66	BEI_FL16S
SRR9089358.14	1472	51.36	36.63	BEI_FL16S
SRR9089358.15	1464	54.85	32.76	BEI_FL16S
SRR9089358.16	1473	51.39	49.11	BEI_FL16S
SRR9089358.17	1473	51.32	35.03	BEI_FL16S
SRR9089358.18	1480	52.70	34.36	BEI_FL16S
SRR9089358.19	1473	51.39	38.00	BEI_FL16S
SRR9089358.20	1464	54.85	57.63	BEI_FL16S
SRR9089358.21	1473	51.39	53.62	BEI_FL16S
SRR9089358.22	1473	51.32	36.49	BEI_FL16S
SRR9089358.23	1479	52.67	40.70	BEI_FL16S
SRR9089358.24	1473	51.39	52.42	BEI_FL16S
SRR9089358.25	1480	52.64	57.40	BEI_FL16S
SRR9089358.26	1480	52.64	38.72	BEI_FL16S
SRR9089358.27	1465	54.81	36.62	BEI_FL16S
SRR9089358.28	1479	52.60	39.48	BEI_FL16S
SRR9089358.29	1478	52.64	34.46	BEI_FL16S
SRR9089358.30	1477	52.67	34.49	BEI_FL16S
SRR9089358.31	1479	52.74	42.35	BEI_FL16S
SRR9089358.32	1479	52.74	33.76	BEI_FL16S
SRR9089358.33	1479	52.74	46.32	BEI_FL16S
SRR9089358.34	1479	52.74	36.64	BEI_FL16S
SRR9089358.35	1464	54.85	37.75	BEI_FL16S
SRR9089358.36	1479	52.74	31.07	BEI_FL16S
SRR9089358.37	1473	51.39	35.14	BEI_FL16S
SRR9089358.38	1472	52.24	34.82	BEI_FL16S
SRR9089358.39	1478	52.64	30.03	BEI_FL16S
SRR9089358.40	1473	53.70	37.83	BEI_FL16S
SRR9089358.41	1479	52.74	41.81	BEI_FL16S
SRR9089358.42	1476	53.59	31.08	BEI_FL16S
SRR9089358.43	1472	53.60	34.56	BEI_FL16S
SRR9089358.44	1479	52.67	54.64	BEI_FL16S
SRR9089358.45	1464	54.85	52.53	BEI_FL16S
SRR9089358.46	1388	55.76	41.69	BEI_FL16S
SRR9089358.47	1473	51.32	67.52	BEI_FL16S
SRR9089358.48	1473	51.46	49.13	BEI_FL16S
SRR9089358.49	1479	52.67	48.23	BEI_FL16S
SRR9089358.50	1472	51.43	35.46	BEI_FL16S
SRR9089358.51	1479	52.67	55.13	BEI_FL16S
SRR9089358.52	1474	51.42	39.66	BEI_FL16S
SRR9089358.53	1473	53.70	50.08	BEI_FL16S
SRR9089358.54	1464	54.85	65.89	BEI_FL16S
SRR9089358.55	1473	51.46	48.95	BEI_FL16S
SRR9089358.56	1474	51.02	62.61	BEI_FL16S
SRR9089358.57	1473	51.39	65.66	BEI_FL16S
SRR9089358.58	1473	51.39	50.66	BEI_FL16S
SRR9089358.59	1473	51.39	73.80	BEI_FL16S
SRR9089358.60	1479	52.67	39.70	BEI_FL16S
SRR9089358.61	1472	51.43	30.33	BEI_FL16S
SRR9089358.62	1464	54.92	33.89	BEI_FL16S
SRR9089358.63	1471	52.28	80.76	BEI_FL16S
