#id	length	GC	avg.qual	sample
SRR9089358.1	1550	52.00	34.36	BEI_FL16S
SRR9089358.2	1527	54.49	58.06	BEI_FL16S
SRR9089358.3	1545	50.81	31.48	BEI_FL16S
SRR9089358.4	1544	51.10	44.39	BEI_FL16S
SRR9089358.5	1550	52.32	54.53	BEI_FL16S
SRR9089358.6	1544	51.10	45.50	BEI_FL16S
SRR9089358.7	1536	54.56	37.66	BEI_FL16S
SRR9089358.8	1496	50.27	33.74	BEI_FL16S
SRR9089358.9	1551	52.16	51.03	BEI_FL16S
SRR9089358.10	1550	52.39	45.66	BEI_FL16S
SRR9089358.11	1543	51.00	36.25	BEI_FL16S
SRR9089358.12	1550	52.19	39.69	BEI_FL16S
SRR9089358.13	1537	51.27	43.82	BEI_FL16S
SRR9089358.14	1543	51.00	36.83	BEI_FL16S
SRR9089358.15	1535	54.27	32.73	BEI_FL16S
SRR9089358.16	1544	50.97	49.31	BEI_FL16S
SRR9089358.17	1544	50.97	34.77	BEI_FL16S
SRR9089358.18	1551	52.35	34.56	BEI_FL16S
SRR9089358.19	1544	51.17	38.15	BEI_FL16S
SRR9089358.20	1534	54.24	57.78	BEI_FL16S
SRR9089358.21	1544	51.10	53.83	BEI_FL16S
SRR9089358.22	1544	50.97	36.69	BEI_FL16S
SRR9089358.23	1550	52.32	40.90	BEI_FL16S
SRR9089358.24	1539	51.20	52.61	BEI_FL16S
SRR9089358.25	1551	52.16	57.61	BEI_FL16S
SRR9089358.26	1551	52.22	38.92	BEI_FL16S
SRR9089358.27	1527	54.29	36.79	BEI_FL16S
SRR9089358.28	1550	52.26	37.26	BEI_FL16S
SRR9089358.29	1544	52.27	33.72	BEI_FL16S
SRR9089358.30	1548	52.26	34.37	BEI_FL16S
SRR9089358.31	1550	52.39	35.74	BEI_FL16S
SRR9089358.32	1550	52.45	33.47	BEI_FL16S
SRR9089358.33	1546	52.26	35.22	BEI_FL16S
SRR9089358.34	1550	52.39	36.52	BEI_FL16S
SRR9089358.35	1535	54.40	36.39	BEI_FL16S
SRR9089358.36	1549	52.42	31.23	BEI_FL16S
SRR9089358.37	1544	51.10	35.06	BEI_FL16S
SRR9089358.38	1543	51.91	35.02	BEI_FL16S
SRR9089358.39	1549	52.23	30.21	BEI_FL16S
SRR9089358.40	1544	53.30	37.88	BEI_FL16S
SRR9089358.41	1550	52.39	36.74	BEI_FL16S
SRR9089358.42	1547	53.26	31.29	BEI_FL16S
SRR9089358.43	1543	53.27	34.14	BEI_FL16S
SRR9089358.44	1550	52.32	35.52	BEI_FL16S
SRR9089358.45	1535	54.27	43.33	BEI_FL16S
SRR9089358.46	1459	55.24	38.21	BEI_FL16S
SRR9089358.47	1544	51.04	59.53	BEI_FL16S
SRR9089358.48	1544	51.10	46.95	BEI_FL16S
SRR9089358.49	1550	52.32	48.43	BEI_FL16S
SRR9089358.50	1543	51.00	34.22	BEI_FL16S
SRR9089358.51	1550	52.45	55.32	BEI_FL16S
SRR9089358.52	1545	51.13	39.87	BEI_FL16S
SRR9089358.53	1545	53.40	40.40	BEI_FL16S
SRR9089358.54	1535	54.46	43.83	BEI_FL16S
SRR9089358.55	1543	51.13	49.15	BEI_FL16S
SRR9089358.56	1534	50.65	35.84	BEI_FL16S
SRR9089358.57	1544	51.17	65.82	BEI_FL16S
SRR9089358.58	1544	50.91	38.59	BEI_FL16S
SRR9089358.59	1544	51.04	40.85	BEI_FL16S
SRR9089358.60	1550	52.19	39.90	BEI_FL16S
SRR9089358.61	1543	51.13	30.53	BEI_FL16S
SRR9089358.62	1535	54.40	34.10	BEI_FL16S
SRR9089358.63	1542	51.88	79.22	BEI_FL16S
SRR9089358.64	1550	52.39	31.20	BEI_FL16S
SRR9089358.65	1546	50.97	31.90	BEI_FL16S
SRR9089358.66	1550	52.26	42.70	BEI_FL16S
SRR9089358.67	1545	53.27	50.89	BEI_FL16S
SRR9089358.68	1550	52.39	43.77	BEI_FL16S
SRR9089358.69	1544	50.91	34.19	BEI_FL16S
SRR9089358.70	1544	51.17	34.89	BEI_FL16S
SRR9089358.71	1461	55.30	51.24	BEI_FL16S
SRR9089358.72	1544	50.91	35.67	BEI_FL16S
SRR9089358.73	3091	51.57	31.50	BEI_FL16S
