file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	Q20(%)	Q30(%)	sample
SRR18750739.fastq	FASTQ	DNA	19765	29688889	1292	1502.1	1739	1492.0	1504.0	1519.0	0	1505	99.63	99.26	Bacteria_AS1
SRR18750738.fastq	FASTQ	DNA	20069	30141119	1290	1501.9	1749	1490.0	1504.0	1519.0	0	1504	99.48	99.03	Bacteria_AS2
SRR18750727.fastq	FASTQ	DNA	19485	29287937	1295	1503.1	1749	1491.0	1505.0	1519.0	0	1505	99.46	99.02	Bacteria_AS3
SRR18750722.fastq	FASTQ	DNA	19970	30008555	1295	1502.7	1744	1488.0	1507.0	1522.0	0	1508	99.55	99.13	Bacteria_AS4
SRR18750721.fastq	FASTQ	DNA	19994	30047966	1295	1502.8	1750	1491.0	1506.0	1521.0	0	1507	99.62	99.23	Bacteria_AS5
SRR18750720.fastq	FASTQ	DNA	19947	29917417	1294	1499.8	1720	1489.0	1501.0	1518.0	0	1501	99.66	99.32	Bacteria_AS6
SRR18750735.fastq	FASTQ	DNA	19886	29948065	1295	1506.0	1746	1492.0	1509.0	1524.0	0	1510	99.42	98.94	Bacteria_FS1
SRR18750734.fastq	FASTQ	DNA	19971	30048891	1172	1504.6	1743	1493.0	1505.0	1523.0	0	1506	99.61	99.23	Bacteria_FS2
SRR18750733.fastq	FASTQ	DNA	19938	30002526	1406	1504.8	1742	1493.0	1505.0	1521.0	0	1505	99.63	99.26	Bacteria_SE1
SRR18750732.fastq	FASTQ	DNA	19977	30017410	1406	1502.6	1749	1492.0	1500.0	1520.0	0	1500	99.65	99.29	Bacteria_SE2
SRR18750731.fastq	FASTQ	DNA	20096	30209404	1293	1503.3	1750	1489.0	1503.0	1521.0	0	1504	99.60	99.23	Bacteria_SS1
SRR18750730.fastq	FASTQ	DNA	19978	29819211	1291	1492.6	1736	1486.0	1495.0	1503.0	0	1495	99.55	99.13	Bacteria_SS2
